;Longitude;Latitude;Valor_Pressao;Data
136;-42.75;-14.25;1011.77;2017-01-06 16:00:00
137;-42.75;-14.25;1010.83;2017-01-06 17:00:00
138;-42.75;-14.25;1010.19;2017-01-06 18:00:00
139;-42.75;-14.25;1009.82;2017-01-06 19:00:00
140;-42.75;-14.25;1009.72;2017-01-06 20:00:00
141;-42.75;-14.25;1010.27;2017-01-06 21:00:00
142;-42.75;-14.25;1010.86;2017-01-06 22:00:00
143;-42.75;-14.25;1011.23;2017-01-06 23:00:00
144;-42.75;-14.25;1011.76;2017-01-07 00:00:00
145;-42.75;-14.25;1012.38;2017-01-07 01:00:00
146;-42.75;-14.25;1012.63;2017-01-07 02:00:00
147;-42.75;-14.25;1012.98;2017-01-07 03:00:00
148;-42.75;-14.25;1012.95;2017-01-07 04:00:00
149;-42.75;-14.25;1012.89;2017-01-07 05:00:00
150;-42.75;-14.25;1013.28;2017-01-07 06:00:00
151;-42.75;-14.25;1013.82;2017-01-07 07:00:00
152;-42.75;-14.25;1014.26;2017-01-07 08:00:00
153;-42.75;-14.25;1015.23;2017-01-07 09:00:00
154;-42.75;-14.25;1016.25;2017-01-07 10:00:00
155;-42.75;-14.25;1016.69;2017-01-07 11:00:00
156;-42.75;-14.25;1016.68;2017-01-07 12:00:00
157;-42.75;-14.25;1016.41;2017-01-07 13:00:00
158;-42.75;-14.25;1015.5;2017-01-07 14:00:00
159;-42.75;-14.25;1014.34;2017-01-07 15:00:00
160;-42.75;-14.25;1013.06;2017-01-07 16:00:00
161;-42.75;-14.25;1011.98;2017-01-07 17:00:00
162;-42.75;-14.25;1010.82;2017-01-07 18:00:00
163;-42.75;-14.25;1010.45;2017-01-07 19:00:00
164;-42.75;-14.25;1010.32;2017-01-07 20:00:00
165;-42.75;-14.25;1010.68;2017-01-07 21:00:00
166;-42.75;-14.25;1011.39;2017-01-07 22:00:00
167;-42.75;-14.25;1011.95;2017-01-07 23:00:00
168;-42.75;-14.25;1012.43;2017-01-08 00:00:00
169;-42.75;-14.25;1013.06;2017-01-08 01:00:00
170;-42.75;-14.25;1012.93;2017-01-08 02:00:00
171;-42.75;-14.25;1013.36;2017-01-08 03:00:00
172;-42.75;-14.25;1013.2;2017-01-08 04:00:00
173;-42.75;-14.25;1013.42;2017-01-08 05:00:00
174;-42.75;-14.25;1013.53;2017-01-08 06:00:00
175;-42.75;-14.25;1013.8;2017-01-08 07:00:00
176;-42.75;-14.25;1014.47;2017-01-08 08:00:00
177;-42.75;-14.25;1014.93;2017-01-08 09:00:00
178;-42.75;-14.25;1015.56;2017-01-08 10:00:00
179;-42.75;-14.25;1015.38;2017-01-08 11:00:00
180;-42.75;-14.25;1014.98;2017-01-08 12:00:00
181;-42.75;-14.25;1014.28;2017-01-08 13:00:00
182;-42.75;-14.25;1012.99;2017-01-08 14:00:00
183;-42.75;-14.25;1012.23;2017-01-08 15:00:00
184;-42.75;-14.25;1011.01;2017-01-08 16:00:00
185;-42.75;-14.25;1009.69;2017-01-08 17:00:00
186;-42.75;-14.25;1009.03;2017-01-08 18:00:00
187;-42.75;-14.25;1008.78;2017-01-08 19:00:00
188;-42.75;-14.25;1008.92;2017-01-08 20:00:00
189;-42.75;-14.25;1009.17;2017-01-08 21:00:00
190;-42.75;-14.25;1010.02;2017-01-08 22:00:00
191;-42.75;-14.25;1010.72;2017-01-08 23:00:00
192;-42.75;-14.25;1011.48;2017-01-09 00:00:00
193;-42.75;-14.25;1012.13;2017-01-09 01:00:00
194;-42.75;-14.25;1012.12;2017-01-09 02:00:00
195;-42.75;-14.25;1012.46;2017-01-09 03:00:00
196;-42.75;-14.25;1012.37;2017-01-09 04:00:00
197;-42.75;-14.25;1011.86;2017-01-09 05:00:00
198;-42.75;-14.25;1012.13;2017-01-09 06:00:00
199;-42.75;-14.25;1012.14;2017-01-09 07:00:00
200;-42.75;-14.25;1012.8;2017-01-09 08:00:00
201;-42.75;-14.25;1013.19;2017-01-09 09:00:00
202;-42.75;-14.25;1014.17;2017-01-09 10:00:00
203;-42.75;-14.25;1014.34;2017-01-09 11:00:00
204;-42.75;-14.25;1014.17;2017-01-09 12:00:00
205;-42.75;-14.25;1013.83;2017-01-09 13:00:00
206;-42.75;-14.25;1013.1;2017-01-09 14:00:00
207;-42.75;-14.25;1012.22;2017-01-09 15:00:00
208;-42.75;-14.25;1011.24;2017-01-09 16:00:00
209;-42.75;-14.25;1009.95;2017-01-09 17:00:00
210;-42.75;-14.25;1008.72;2017-01-09 18:00:00
211;-42.75;-14.25;1008.38;2017-01-09 19:00:00
212;-42.75;-14.25;1008.05;2017-01-09 20:00:00
213;-42.75;-14.25;1008.35;2017-01-09 21:00:00
214;-42.75;-14.25;1009.08;2017-01-09 22:00:00
215;-42.75;-14.25;1009.75;2017-01-09 23:00:00
216;-42.75;-14.25;1010.05;2017-01-10 00:00:00
217;-42.75;-14.25;1010.07;2017-01-10 01:00:00
218;-42.75;-14.25;1010.17;2017-01-10 02:00:00
219;-42.75;-14.25;1010.01;2017-01-10 03:00:00
220;-42.75;-14.25;1009.93;2017-01-10 04:00:00
221;-42.75;-14.25;1010.34;2017-01-10 05:00:00
222;-42.75;-14.25;1010.75;2017-01-10 06:00:00
223;-42.75;-14.25;1011.17;2017-01-10 07:00:00
224;-42.75;-14.25;1011.78;2017-01-10 08:00:00
225;-42.75;-14.25;1012.19;2017-01-10 09:00:00
226;-42.75;-14.25;1012.52;2017-01-10 10:00:00
227;-42.75;-14.25;1012.96;2017-01-10 11:00:00
228;-42.75;-14.25;1012.33;2017-01-10 12:00:00
229;-42.75;-14.25;1011.64;2017-01-10 13:00:00
230;-42.75;-14.25;1010.75;2017-01-10 14:00:00
231;-42.75;-14.25;1010.01;2017-01-10 15:00:00
232;-42.75;-14.25;1009.07;2017-01-10 16:00:00
233;-42.75;-14.25;1007.9;2017-01-10 17:00:00
234;-42.75;-14.25;1006.96;2017-01-10 18:00:00
235;-42.75;-14.25;1006.46;2017-01-10 19:00:00
236;-42.75;-14.25;1006.51;2017-01-10 20:00:00
237;-42.75;-14.25;1006.72;2017-01-10 21:00:00
238;-42.75;-14.25;1006.58;2017-01-10 22:00:00
239;-42.75;-14.25;1007.48;2017-01-10 23:00:00
240;-42.75;-14.25;1008.39;2017-01-11 00:00:00
241;-42.75;-14.25;1009.15;2017-01-11 01:00:00
242;-42.75;-14.25;1009.34;2017-01-11 02:00:00
243;-42.75;-14.25;1009.53;2017-01-11 03:00:00
244;-42.75;-14.25;1009.86;2017-01-11 04:00:00
245;-42.75;-14.25;1010.22;2017-01-11 05:00:00
246;-42.75;-14.25;1010.75;2017-01-11 06:00:00
247;-42.75;-14.25;1011.0;2017-01-11 07:00:00
248;-42.75;-14.25;1011.65;2017-01-11 08:00:00
249;-42.75;-14.25;1012.35;2017-01-11 09:00:00
250;-42.75;-14.25;1013.5;2017-01-11 10:00:00
251;-42.75;-14.25;1013.56;2017-01-11 11:00:00
252;-42.75;-14.25;1013.33;2017-01-11 12:00:00
253;-42.75;-14.25;1012.91;2017-01-11 13:00:00
254;-42.75;-14.25;1012.1;2017-01-11 14:00:00
255;-42.75;-14.25;1011.67;2017-01-11 15:00:00
256;-42.75;-14.25;1010.77;2017-01-11 16:00:00
257;-42.75;-14.25;1009.69;2017-01-11 17:00:00
258;-42.75;-14.25;1008.63;2017-01-11 18:00:00
259;-42.75;-14.25;1007.99;2017-01-11 19:00:00
260;-42.75;-14.25;1007.45;2017-01-11 20:00:00
261;-42.75;-14.25;1007.58;2017-01-11 21:00:00
262;-42.75;-14.25;1008.69;2017-01-11 22:00:00
263;-42.75;-14.25;1009.48;2017-01-11 23:00:00
264;-42.75;-14.25;1010.52;2017-01-12 00:00:00
265;-42.75;-14.25;1011.59;2017-01-12 01:00:00
266;-42.75;-14.25;1011.57;2017-01-12 02:00:00
267;-42.75;-14.25;1011.61;2017-01-12 03:00:00
268;-42.75;-14.25;1011.25;2017-01-12 04:00:00
269;-42.75;-14.25;1010.75;2017-01-12 05:00:00
270;-42.75;-14.25;1010.88;2017-01-12 06:00:00
271;-42.75;-14.25;1011.39;2017-01-12 07:00:00
272;-42.75;-14.25;1012.1;2017-01-12 08:00:00
273;-42.75;-14.25;1012.73;2017-01-12 09:00:00
274;-42.75;-14.25;1013.59;2017-01-12 10:00:00
275;-42.75;-14.25;1013.92;2017-01-12 11:00:00
276;-42.75;-14.25;1013.98;2017-01-12 12:00:00
277;-42.75;-14.25;1013.97;2017-01-12 13:00:00
278;-42.75;-14.25;1012.69;2017-01-12 14:00:00
279;-42.75;-14.25;1012.15;2017-01-12 15:00:00
280;-42.75;-14.25;1011.08;2017-01-12 16:00:00
281;-42.75;-14.25;1009.69;2017-01-12 17:00:00
282;-42.75;-14.25;1009.32;2017-01-12 18:00:00
283;-42.75;-14.25;1009.17;2017-01-12 19:00:00
284;-42.75;-14.25;1009.21;2017-01-12 20:00:00
285;-42.75;-14.25;1008.8;2017-01-12 21:00:00
286;-42.75;-14.25;1009.8;2017-01-12 22:00:00
287;-42.75;-14.25;1010.87;2017-01-12 23:00:00
288;-42.75;-14.25;1011.85;2017-01-13 00:00:00
289;-42.75;-14.25;1012.31;2017-01-13 01:00:00
290;-42.75;-14.25;1012.06;2017-01-13 02:00:00
291;-42.75;-14.25;1012.49;2017-01-13 03:00:00
292;-42.75;-14.25;1012.27;2017-01-13 04:00:00
293;-42.75;-14.25;1011.41;2017-01-13 05:00:00
294;-42.75;-14.25;1010.69;2017-01-13 06:00:00
295;-42.75;-14.25;1010.65;2017-01-13 07:00:00
296;-42.75;-14.25;1011.14;2017-01-13 08:00:00
297;-42.75;-14.25;1011.69;2017-01-13 09:00:00
298;-42.75;-14.25;1013.66;2017-01-13 10:00:00
299;-42.75;-14.25;1013.8;2017-01-13 11:00:00
300;-42.75;-14.25;1014.51;2017-01-13 12:00:00
301;-42.75;-14.25;1013.91;2017-01-13 13:00:00
302;-42.75;-14.25;1012.75;2017-01-13 14:00:00
303;-42.75;-14.25;1011.95;2017-01-13 15:00:00
304;-42.75;-14.25;1011.2;2017-01-13 16:00:00
305;-42.75;-14.25;1010.46;2017-01-13 17:00:00
306;-42.75;-14.25;1009.68;2017-01-13 18:00:00
307;-42.75;-14.25;1009.77;2017-01-13 19:00:00
308;-42.75;-14.25;1008.98;2017-01-13 20:00:00
309;-42.75;-14.25;1009.65;2017-01-13 21:00:00
310;-42.75;-14.25;1010.52;2017-01-13 22:00:00
311;-42.75;-14.25;1011.1;2017-01-13 23:00:00
312;-42.75;-14.25;1011.33;2017-01-14 00:00:00
313;-42.75;-14.25;1011.94;2017-01-14 01:00:00
314;-42.75;-14.25;1011.54;2017-01-14 02:00:00
315;-42.75;-14.25;1011.76;2017-01-14 03:00:00
316;-42.75;-14.25;1011.22;2017-01-14 04:00:00
317;-42.75;-14.25;1010.46;2017-01-14 05:00:00
318;-42.75;-14.25;1010.6;2017-01-14 06:00:00
319;-42.75;-14.25;1010.9;2017-01-14 07:00:00
320;-42.75;-14.25;1011.48;2017-01-14 08:00:00
321;-42.75;-14.25;1011.76;2017-01-14 09:00:00
322;-42.75;-14.25;1012.27;2017-01-14 10:00:00
323;-42.75;-14.25;1012.06;2017-01-14 11:00:00
324;-42.75;-14.25;1012.38;2017-01-14 12:00:00
325;-42.75;-14.25;1012.42;2017-01-14 13:00:00
326;-42.75;-14.25;1011.76;2017-01-14 14:00:00
327;-42.75;-14.25;1010.95;2017-01-14 15:00:00
328;-42.75;-14.25;1009.53;2017-01-14 16:00:00
329;-42.75;-14.25;1008.92;2017-01-14 17:00:00
330;-42.75;-14.25;1008.43;2017-01-14 18:00:00
331;-42.75;-14.25;1007.99;2017-01-14 19:00:00
332;-42.75;-14.25;1007.82;2017-01-14 20:00:00
333;-42.75;-14.25;1007.95;2017-01-14 21:00:00
334;-42.75;-14.25;1009.58;2017-01-14 22:00:00
335;-42.75;-14.25;1011.1;2017-01-14 23:00:00
336;-42.75;-14.25;1012.2;2017-01-15 00:00:00
337;-42.75;-14.25;1012.82;2017-01-15 01:00:00
338;-42.75;-14.25;1012.86;2017-01-15 02:00:00
339;-42.75;-14.25;1011.99;2017-01-15 03:00:00
340;-42.75;-14.25;1011.69;2017-01-15 04:00:00
341;-42.75;-14.25;1010.88;2017-01-15 05:00:00
342;-42.75;-14.25;1010.38;2017-01-15 06:00:00
343;-42.75;-14.25;1010.64;2017-01-15 07:00:00
344;-42.75;-14.25;1011.65;2017-01-15 08:00:00
345;-42.75;-14.25;1012.52;2017-01-15 09:00:00
346;-42.75;-14.25;1013.05;2017-01-15 10:00:00
347;-42.75;-14.25;1013.27;2017-01-15 11:00:00
348;-42.75;-14.25;1013.64;2017-01-15 12:00:00
349;-42.75;-14.25;1013.36;2017-01-15 13:00:00
350;-42.75;-14.25;1012.58;2017-01-15 14:00:00
351;-42.75;-14.25;1011.48;2017-01-15 15:00:00
352;-42.75;-14.25;1010.87;2017-01-15 16:00:00
353;-42.75;-14.25;1010.18;2017-01-15 17:00:00
354;-42.75;-14.25;1008.86;2017-01-15 18:00:00
355;-42.75;-14.25;1008.43;2017-01-15 19:00:00
356;-42.75;-14.25;1008.3;2017-01-15 20:00:00
357;-42.75;-14.25;1008.71;2017-01-15 21:00:00
358;-42.75;-14.25;1009.91;2017-01-15 22:00:00
359;-42.75;-14.25;1010.95;2017-01-15 23:00:00
360;-42.75;-14.25;1011.11;2017-01-16 00:00:00
361;-42.75;-14.25;1010.99;2017-01-16 01:00:00
362;-42.75;-14.25;1010.74;2017-01-16 02:00:00
363;-42.75;-14.25;1011.03;2017-01-16 03:00:00
364;-42.75;-14.25;1010.7;2017-01-16 04:00:00
365;-42.75;-14.25;1010.66;2017-01-16 05:00:00
366;-42.75;-14.25;1010.53;2017-01-16 06:00:00
367;-42.75;-14.25;1010.91;2017-01-16 07:00:00
