;Longitude;Latitude;Data;pressao_Verif
258;-42.75;-14.25;2017-01-11 18:00:00;880.17
259;-42.75;-14.25;2017-01-11 19:00:00;881.0
260;-42.75;-14.25;2017-01-11 20:00:00;881.33
261;-42.75;-14.25;2017-01-11 21:00:00;882.0
262;-42.75;-14.25;2017-01-11 22:00:00;882.0
263;-42.75;-14.25;2017-01-11 23:00:00;882.0
264;-42.75;-14.25;2017-01-12 00:00:00;882.0
265;-42.75;-14.25;2017-01-12 01:00:00;881.17
266;-42.75;-14.25;2017-01-12 02:00:00;881.0
267;-42.75;-14.25;2017-01-12 03:00:00;881.0
268;-42.75;-14.25;2017-01-12 04:00:00;881.33
269;-42.75;-14.25;2017-01-12 05:00:00;882.0
270;-42.75;-14.25;2017-01-12 06:00:00;882.67
271;-42.75;-14.25;2017-01-12 07:00:00;883.33
272;-42.75;-14.25;2017-01-12 08:00:00;884.0
273;-42.75;-14.25;2017-01-12 09:00:00;884.0
274;-42.75;-14.25;2017-01-12 10:00:00;884.0
275;-42.75;-14.25;2017-01-12 11:00:00;884.0
276;-42.75;-14.25;2017-01-12 12:00:00;883.83
277;-42.75;-14.25;2017-01-12 13:00:00;883.0
278;-42.75;-14.25;2017-01-12 14:00:00;882.0
279;-42.75;-14.25;2017-01-12 15:00:00;881.0
280;-42.75;-14.25;2017-01-12 16:00:00;880.33
281;-42.75;-14.25;2017-01-12 17:00:00;880.5
282;-42.75;-14.25;2017-01-12 18:00:00;880.33
283;-42.75;-14.25;2017-01-12 19:00:00;881.0
284;-42.75;-14.25;2017-01-12 20:00:00;881.0
285;-42.75;-14.25;2017-01-12 21:00:00;881.5
286;-42.75;-14.25;2017-01-12 22:00:00;882.17
287;-42.75;-14.25;2017-01-12 23:00:00;882.0
288;-42.75;-14.25;2017-01-13 00:00:00;882.0
289;-42.75;-14.25;2017-01-13 01:00:00;881.0
290;-42.75;-14.25;2017-01-13 02:00:00;881.0
291;-42.75;-14.25;2017-01-13 03:00:00;881.0
292;-42.75;-14.25;2017-01-13 04:00:00;881.0
293;-42.75;-14.25;2017-01-13 05:00:00;881.0
294;-42.75;-14.25;2017-01-13 06:00:00;881.83
295;-42.75;-14.25;2017-01-13 07:00:00;882.0
296;-42.75;-14.25;2017-01-13 08:00:00;883.0
297;-42.75;-14.25;2017-01-13 09:00:00;883.0
298;-42.75;-14.25;2017-01-13 10:00:00;883.5
299;-42.75;-14.25;2017-01-13 11:00:00;883.0
300;-42.75;-14.25;2017-01-13 12:00:00;882.83
301;-42.75;-14.25;2017-01-13 13:00:00;882.0
302;-42.75;-14.25;2017-01-13 14:00:00;881.33
303;-42.75;-14.25;2017-01-13 15:00:00;880.67
304;-42.75;-14.25;2017-01-13 16:00:00;880.0
305;-42.75;-14.25;2017-01-13 17:00:00;880.0
306;-42.75;-14.25;2017-01-13 18:00:00;880.17
307;-42.75;-14.25;2017-01-13 19:00:00;881.0
308;-42.75;-14.25;2017-01-13 20:00:00;881.0
309;-42.75;-14.25;2017-01-13 21:00:00;881.17
310;-42.75;-14.25;2017-01-13 22:00:00;882.0
311;-42.75;-14.25;2017-01-13 23:00:00;882.0
312;-42.75;-14.25;2017-01-14 00:00:00;881.5
313;-42.75;-14.25;2017-01-14 01:00:00;881.0
314;-42.75;-14.25;2017-01-14 02:00:00;881.0
315;-42.75;-14.25;2017-01-14 03:00:00;880.67
316;-42.75;-14.25;2017-01-14 04:00:00;880.67
317;-42.75;-14.25;2017-01-14 05:00:00;881.0
318;-42.75;-14.25;2017-01-14 06:00:00;881.0
319;-42.75;-14.25;2017-01-14 07:00:00;881.67
320;-42.75;-14.25;2017-01-14 08:00:00;882.0
321;-42.75;-14.25;2017-01-14 09:00:00;882.0
322;-42.75;-14.25;2017-01-14 10:00:00;882.0
323;-42.75;-14.25;2017-01-14 11:00:00;882.0
324;-42.75;-14.25;2017-01-14 12:00:00;881.83
325;-42.75;-14.25;2017-01-14 13:00:00;880.67
326;-42.75;-14.25;2017-01-14 14:00:00;880.0
327;-42.75;-14.25;2017-01-14 15:00:00;879.17
328;-42.75;-14.25;2017-01-14 16:00:00;879.0
329;-42.75;-14.25;2017-01-14 17:00:00;879.0
330;-42.75;-14.25;2017-01-14 18:00:00;879.83
331;-42.75;-14.25;2017-01-14 19:00:00;880.0
332;-42.75;-14.25;2017-01-14 20:00:00;881.0
333;-42.75;-14.25;2017-01-14 21:00:00;881.0
334;-42.75;-14.25;2017-01-14 22:00:00;881.17
335;-42.75;-14.25;2017-01-14 23:00:00;881.17
336;-42.75;-14.25;2017-01-15 00:00:00;881.0
337;-42.75;-14.25;2017-01-15 01:00:00;880.83
338;-42.75;-14.25;2017-01-15 02:00:00;880.17
339;-42.75;-14.25;2017-01-15 03:00:00;880.0
340;-42.75;-14.25;2017-01-15 04:00:00;880.33
341;-42.75;-14.25;2017-01-15 05:00:00;881.0
342;-42.75;-14.25;2017-01-15 06:00:00;881.67
343;-42.75;-14.25;2017-01-15 07:00:00;882.0
344;-42.75;-14.25;2017-01-15 08:00:00;882.5
345;-42.75;-14.25;2017-01-15 09:00:00;883.0
346;-42.75;-14.25;2017-01-15 10:00:00;883.0
347;-42.75;-14.25;2017-01-15 11:00:00;883.0
348;-42.75;-14.25;2017-01-15 12:00:00;882.67
349;-42.75;-14.25;2017-01-15 13:00:00;882.0
350;-42.75;-14.25;2017-01-15 14:00:00;881.0
351;-42.75;-14.25;2017-01-15 15:00:00;880.0
352;-42.75;-14.25;2017-01-15 16:00:00;880.0
353;-42.75;-14.25;2017-01-15 17:00:00;880.0
354;-42.75;-14.25;2017-01-15 18:00:00;880.0
355;-42.75;-14.25;2017-01-15 19:00:00;880.83
356;-42.75;-14.25;2017-01-15 20:00:00;881.0
357;-42.75;-14.25;2017-01-15 21:00:00;881.17
358;-42.75;-14.25;2017-01-15 22:00:00;882.0
359;-42.75;-14.25;2017-01-15 23:00:00;882.0
360;-42.75;-14.25;2017-01-16 00:00:00;881.83
361;-42.75;-14.25;2017-01-16 01:00:00;881.17
362;-42.75;-14.25;2017-01-16 02:00:00;881.0
363;-42.75;-14.25;2017-01-16 03:00:00;881.0
364;-42.75;-14.25;2017-01-16 04:00:00;881.0
365;-42.75;-14.25;2017-01-16 05:00:00;881.0
366;-42.75;-14.25;2017-01-16 06:00:00;881.5
367;-42.75;-14.25;2017-01-16 07:00:00;882.0
368;-42.75;-14.25;2017-01-16 08:00:00;882.67
369;-42.75;-14.25;2017-01-16 09:00:00;883.0
370;-42.75;-14.25;2017-01-16 10:00:00;883.17
371;-42.75;-14.25;2017-01-16 11:00:00;883.0
372;-42.75;-14.25;2017-01-16 12:00:00;883.0
373;-42.75;-14.25;2017-01-16 13:00:00;882.0
374;-42.75;-14.25;2017-01-16 14:00:00;881.33
375;-42.75;-14.25;2017-01-16 15:00:00;880.5
376;-42.75;-14.25;2017-01-16 16:00:00;880.0
377;-42.75;-14.25;2017-01-16 17:00:00;880.0
378;-42.75;-14.25;2017-01-16 18:00:00;880.0
379;-42.75;-14.25;2017-01-16 19:00:00;880.67
380;-42.75;-14.25;2017-01-16 20:00:00;881.0
381;-42.75;-14.25;2017-01-16 21:00:00;881.83
382;-42.75;-14.25;2017-01-16 22:00:00;882.0
383;-42.75;-14.25;2017-01-16 23:00:00;882.0
384;-42.75;-14.25;2017-01-17 00:00:00;882.0
385;-42.75;-14.25;2017-01-17 01:00:00;882.0
386;-42.75;-14.25;2017-01-17 02:00:00;881.33
387;-42.75;-14.25;2017-01-17 03:00:00;881.0
388;-42.75;-14.25;2017-01-17 04:00:00;881.0
389;-42.75;-14.25;2017-01-17 05:00:00;881.5
390;-42.75;-14.25;2017-01-17 06:00:00;882.0
391;-42.75;-14.25;2017-01-17 07:00:00;882.17
392;-42.75;-14.25;2017-01-17 08:00:00;882.67
393;-42.75;-14.25;2017-01-17 09:00:00;883.0
394;-42.75;-14.25;2017-01-17 10:00:00;883.0
395;-42.75;-14.25;2017-01-17 11:00:00;882.83
396;-42.75;-14.25;2017-01-17 12:00:00;882.0
397;-42.75;-14.25;2017-01-17 13:00:00;882.0
398;-42.75;-14.25;2017-01-17 14:00:00;881.33
399;-42.75;-14.25;2017-01-17 15:00:00;880.5
400;-42.75;-14.25;2017-01-17 16:00:00;880.0
401;-42.75;-14.25;2017-01-17 17:00:00;880.0
402;-42.75;-14.25;2017-01-17 18:00:00;880.0
